,context,Question,text
4,"Hi, Adrian. I need to talk to you about our plans for tomorrow. I know I offered to drive us to the amusement park in the morning. but I don't think I'll be able to. For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed. 
That's OK. Rachel should still have room in her van, so I'm sure we can ride with her instead.
Great. Do you think she will also be able to pick me up from my house? Since I won't have a vehicle, it will be hard for me to meet up with everyone.
I don't think she'll mind, but I'll ask her anyway.",What is the Purpose of the meeting?,need to talk to you about our plans for tomorrow.
,"Hi, Adrian. I need to talk to you about our plans for tomorrow. I know I offered to drive us to the amusement park in the morning. but I don't think I'll be able to. For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed. 
That's OK. Rachel should still have room in her van, so I'm sure we can ride with her instead.
Great. Do you think she will also be able to pick me up from my house? Since I won't have a vehicle, it will be hard for me to meet up with everyone.
I don't think she'll mind, but I'll ask her anyway.",What did they agree upon?,"Rachel should still have room in her van, so I'm sure we can ride with her instead."
,"Hi, Adrian. I need to talk to you about our plans for tomorrow. I know I offered to drive us to the amusement park in the morning. but I don't think I'll be able to. For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed. 
That's OK. Rachel should still have room in her van, so I'm sure we can ride with her instead.
Great. Do you think she will also be able to pick me up from my house? Since I won't have a vehicle, it will be hard for me to meet up with everyone.
I don't think she'll mind, but I'll ask her anyway.",What problem has been undertaken?,"For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed."
,"Hi, Adrian. I need to talk to you about our plans for tomorrow. I know I offered to drive us to the amusement park in the morning. but I don't think I'll be able to. For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed. 
That's OK. Rachel should still have room in her van, so I'm sure we can ride with her instead.
Great. Do you think she will also be able to pick me up from my house? Since I won't have a vehicle, it will be hard for me to meet up with everyone.
I don't think she'll mind, but I'll ask her anyway.",Where is the repair center?,
,"Hi, Adrian. I need to talk to you about our plans for tomorrow. I know I offered to drive us to the amusement park in the morning. but I don't think I'll be able to. For some reason, my car won't start. I'm going to have it towed to a repair center to be fixed. 
That's OK. Rachel should still have room in her van, so I'm sure we can ride with her instead.
Great. Do you think she will also be able to pick me up from my house? Since I won't have a vehicle, it will be hard for me to meet up with everyone.
I don't think she'll mind, but I'll ask her anyway.",What is the conclusion? ,I'll ask her anyway.
5,"Beth. I'm glad I caught you. Our company is designing Fieldstone Incorporated's new Portland office, so I'm meeting with one of their representatives next week to discuss the project time table. I'd like you to join me. 
OK. I heard about the new contract, but I didn't know I'd be involved. I assume you're going to be running the project, right? 
I'm helping out during the early stages. As Jenna Adams is the team leader, I won't really have a supervisory role. 
This is going to be her first time in a management role, isn't it? 
Yes. But she has worked on similar projects in the past, so I'm confident that she will do well.",What contract is our company doing?,designing Fieldstone Incorporated's new Portland office
,"Beth. I'm glad I caught you. Our company is designing Fieldstone Incorporated's new Portland office, so I'm meeting with one of their representatives next week to discuss the project time table. I'd like you to join me. 
OK. I heard about the new contract, but I didn't know I'd be involved. I assume you're going to be running the project, right? 
I'm helping out during the early stages. As Jenna Adams is the team leader, I won't really have a supervisory role. 
This is going to be her first time in a management role, isn't it? 
Yes. But she has worked on similar projects in the past, so I'm confident that she will do well.",What is the Purpose of the meeting?,I'd like you to join me. 
,"Beth. I'm glad I caught you. Our company is designing Fieldstone Incorporated's new Portland office, so I'm meeting with one of their representatives next week to discuss the project time table. I'd like you to join me. 
OK. I heard about the new contract, but I didn't know I'd be involved. I assume you're going to be running the project, right? 
I'm helping out during the early stages. As Jenna Adams is the team leader, I won't really have a supervisory role. 
This is going to be her first time in a management role, isn't it? 
Yes. But she has worked on similar projects in the past, so I'm confident that she will do well.",Waht is the name of the team leader?,Jenna Adams 
,"Beth. I'm glad I caught you. Our company is designing Fieldstone Incorporated's new Portland office, so I'm meeting with one of their representatives next week to discuss the project time table. I'd like you to join me. 
OK. I heard about the new contract, but I didn't know I'd be involved. I assume you're going to be running the project, right? 
I'm helping out during the early stages. As Jenna Adams is the team leader, I won't really have a supervisory role. 
This is going to be her first time in a management role, isn't it? 
Yes. But she has worked on similar projects in the past, so I'm confident that she will do well.",When will the next meeting be held?,next week
,"Beth. I'm glad I caught you. Our company is designing Fieldstone Incorporated's new Portland office, so I'm meeting with one of their representatives next week to discuss the project time table. I'd like you to join me. 
OK. I heard about the new contract, but I didn't know I'd be involved. I assume you're going to be running the project, right? 
I'm helping out during the early stages. As Jenna Adams is the team leader, I won't really have a supervisory role. 
This is going to be her first time in a management role, isn't it? 
Yes. But she has worked on similar projects in the past, so I'm confident that she will do well.",What is the conclusion?,
6,"Do you wanna join me this Friday for an event? Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then. 
Sure. I'm quite fond of her sculptures. When should we head there?
How does 7 P.M. sound? If you want, we can grab dinner beforehand as well. 
That sounds good. Ellen, would you like to come, too? 
I can't, since I'm busy Friday. However, I have a gift certificate for Harris Kitchen that I can give you. It expires on Saturday, so someone should use it. 
That'd be great, Ellen. Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow.",What is the Friday night events?,Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then
,"Do you wanna join me this Friday for an event? Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then. 
Sure. I'm quite fond of her sculptures. When should we head there?
How does 8 P.M. sound? If you want, we can grab dinner beforehand as well. 
That sounds good. Ellen, would you like to come, too? 
I can't, since I'm busy Friday. However, I have a gift certificate for Harris Kitchen that I can give you. It expires on Saturday, so someone should use it. 
That'd be great, Ellen. Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow.",What is the Purpose of the meeting?,Do you wanna join me this Friday for an event? 
,"Do you wanna join me this Friday for an event? Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then. 
Sure. I'm quite fond of her sculptures. When should we head there?
How does 9 P.M. sound? If you want, we can grab dinner beforehand as well. 
That sounds good. Ellen, would you like to come, too? 
I can't, since I'm busy Friday. However, I have a gift certificate for Harris Kitchen that I can give you. It expires on Saturday, so someone should use it. 
That'd be great, Ellen. Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow.",When will the next meeting be held?,7 P.M.
,"Do you wanna join me this Friday for an event? Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then. 
Sure. I'm quite fond of her sculptures. When should we head there?
How does 10 P.M. sound? If you want, we can grab dinner beforehand as well. 
That sounds good. Ellen, would you like to come, too? 
I can't, since I'm busy Friday. However, I have a gift certificate for Harris Kitchen that I can give you. It expires on Saturday, so someone should use it. 
That'd be great, Ellen. Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow.",Why can't Ellen come event this Friday?,"I can't, since I'm busy Friday."
,"Do you wanna join me this Friday for an event? Gallery Blue is holding a show of the latest work of sculptor Kerry Marx then. 
Sure. I'm quite fond of her sculptures. When should we head there?
How does 11 P.M. sound? If you want, we can grab dinner beforehand as well. 
That sounds good. Ellen, would you like to come, too? 
I can't, since I'm busy Friday. However, I have a gift certificate for Harris Kitchen that I can give you. It expires on Saturday, so someone should use it. 
That'd be great, Ellen. Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow.",What is the conclusion?,"Harris Kitchen is within the vicinity of the gallery. 
Wonderful. Well, I'll get you the certificate tomorrow."
7,"Today marks an important development for both Hanaway Industries and Glarris Technologies. Now that our two companies have combined to form Hanaway and Glarris Incorporated, we are the largest information technology firm in Europe. By consolidating our resources, we have positioned ourselves to serve clients more successfully than ever. This will surely be a benefit to our customers and the industry as a whole. However, we have a lot of work to do before we become fully operational. To that effect, employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.",What is the Purpose of the meeting?,an important development for both Hanaway Industries and Glarris Technologies.
,"Today marks an important development for both Hanaway Industries and Glarris Technologies. Now that our two companies have combined to form Hanaway and Glarris Incorporated, we are the largest information technology firm in Europe. By consolidating our resources, we have positioned ourselves to serve clients more successfully than ever. This will surely be a benefit to our customers and the industry as a whole. However, we have a lot of work to do before we become fully operational. To that effect, employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.",Why are they the largest information technology firm in Europe?,our two companies have combined to form Hanaway and Glarris Incorporated
,"Today marks an important development for both Hanaway Industries and Glarris Technologies. Now that our two companies have combined to form Hanaway and Glarris Incorporated, we are the largest information technology firm in Europe. By consolidating our resources, we have positioned ourselves to serve clients more successfully than ever. This will surely be a benefit to our customers and the industry as a whole. However, we have a lot of work to do before we become fully operational. To that effect, employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.",How have they positioned themselves to serve clients more successfully than ever?,By consolidating our resources
,"Today marks an important development for both Hanaway Industries and Glarris Technologies. Now that our two companies have combined to form Hanaway and Glarris Incorporated, we are the largest information technology firm in Europe. By consolidating our resources, we have positioned ourselves to serve clients more successfully than ever. This will surely be a benefit to our customers and the industry as a whole. However, we have a lot of work to do before we become fully operational. To that effect, employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.",Who is the speaker?,
,"Today marks an important development for both Hanaway Industries and Glarris Technologies. Now that our two companies have combined to form Hanaway and Glarris Incorporated, we are the largest information technology firm in Europe. By consolidating our resources, we have positioned ourselves to serve clients more successfully than ever. This will surely be a benefit to our customers and the industry as a whole. However, we have a lot of work to do before we become fully operational. To that effect, employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.",What is the conclusion?,employees from both of the formerly separate companies must continue to establish effective communication with each other in order to improve efficiency. That will be our primary focus over the next two months.
8,"Hello, Zack. My name is Allison Peng, and I'm calling from Creative Prime Agency. I've contacted several galleries in the Richmond area about your work and heard back from Electric Space downtown. The curator from that gallery expressed great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October. Electric Space's art gallery is a newly renovated building with ample space for your large-scale landscapes. It's hard to imagine a better choice. So, please let me know if you'd like to take advantage of this wonderful opportunity.",What is the Purpose of the meeting?,please let me know if you'd like to take advantage of this wonderful opportunity.
,"Hello, Zack. My name is Allison Peng, and I'm calling from Creative Prime Agency. I've contacted several galleries in the Richmond area about your work and heard back from Electric Space downtown. The curator from that gallery expressed great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October. Electric Space's art gallery is a newly renovated building with ample space for your large-scale landscapes. It's hard to imagine a better choice. So, please let me know if you'd like to take advantage of this wonderful opportunity.",Where is Allison Peng calling from?,Creative Prime Agency
,"Hello, Zack. My name is Allison Peng, and I'm calling from Creative Prime Agency. I've contacted several galleries in the Richmond area about your work and heard back from Electric Space downtown. The curator from that gallery expressed great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October. Electric Space's art gallery is a newly renovated building with ample space for your large-scale landscapes. It's hard to imagine a better choice. So, please let me know if you'd like to take advantage of this wonderful opportunity.",What did curator expressed?,great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October
,"Hello, Zack. My name is Allison Peng, and I'm calling from Creative Prime Agency. I've contacted several galleries in the Richmond area about your work and heard back from Electric Space downtown. The curator from that gallery expressed great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October. Electric Space's art gallery is a newly renovated building with ample space for your large-scale landscapes. It's hard to imagine a better choice. So, please let me know if you'd like to take advantage of this wonderful opportunity.",Where will the exhibition be held?,Electric Space's art gallery
,"Hello, Zack. My name is Allison Peng, and I'm calling from Creative Prime Agency. I've contacted several galleries in the Richmond area about your work and heard back from Electric Space downtown. The curator from that gallery expressed great interest in the contemporary paintings you created and said she'd be delighted to exhibit them there in October. Electric Space's art gallery is a newly renovated building with ample space for your large-scale landscapes. It's hard to imagine a better choice. So, please let me know if you'd like to take advantage of this wonderful opportunity.",What is the conclusion?,please let me know if you'd like to take advantage of this wonderful opportunity.
9,"I just went through the income statement prepared by the accounting team. I'm a little concerned because sales have declined at many of the cosmetics stores we operate. 
I know. Apparently, our main competitor now offers an online service. Customers can order products through the company's Web site and have them delivered on the same day. 
That is a lot more convenient than visiting one of our shops in person. 
That's what I'm getting at. We need to figure out a way to be more competitive. Well, the solution seems obvious ... We should develop a similar service. 
Yeah, I'm going to put together a presentation about this for the CEO.",What is the Purpose of the meeting?,sales have declined at many of the cosmetics stores we operate
,"I just went through the income statement prepared by the accounting team. I'm a little concerned because sales have declined at many of the cosmetics stores we operate. 
I know. Apparently, our main competitor now offers an online service. Customers can order products through the company's Web site and have them delivered on the same day. 
That is a lot more convenient than visiting one of our shops in person. 
That's what I'm getting at. We need to figure out a way to be more competitive. Well, the solution seems obvious ... We should develop a similar service. 
Yeah, I'm going to put together a presentation about this for the CEO.",Why have sales declined at many of the cosmetic store we operate?,our main competitor now offers an online service
,"I just went through the income statement prepared by the accounting team. I'm a little concerned because sales have declined at many of the cosmetics stores we operate. 
I know. Apparently, our main competitor now offers an online service. Customers can order products through the company's Web site and have them delivered on the same day. 
That is a lot more convenient than visiting one of our shops in person. 
That's what I'm getting at. We need to figure out a way to be more competitive. Well, the solution seems obvious ... We should develop a similar service. 
Yeah, I'm going to put together a presentation about this for the CEO.",How many does customer order product through the company's Web site?,
,"I just went through the income statement prepared by the accounting team. I'm a little concerned because sales have declined at many of the cosmetics stores we operate. 
I know. Apparently, our main competitor now offers an online service. Customers can order products through the company's Web site and have them delivered on the same day. 
That is a lot more convenient than visiting one of our shops in person. 
That's what I'm getting at. We need to figure out a way to be more competitive. Well, the solution seems obvious ... We should develop a similar service. 
Yeah, I'm going to put together a presentation about this for the CEO.",What is the conclusion?,We should develop a similar service
,"I just went through the income statement prepared by the accounting team. I'm a little concerned because sales have declined at many of the cosmetics stores we operate. 
I know. Apparently, our main competitor now offers an online service. Customers can order products through the company's Web site and have them delivered on the same day. 
That is a lot more convenient than visiting one of our shops in person. 
That's what I'm getting at. We need to figure out a way to be more competitive. Well, the solution seems obvious ... We should develop a similar service. 
Yeah, I'm going to put together a presentation about this for the CEO.",What will they do next?,going to put together a presentation about this for the CEO
10,"Hey, Larry. How are things going here at the ticketing office? I just want to check and see if the new software we installed is working OK. 
Oh, it's been wonderful! It is easy to use and saves a lot of time. I've been able to serve twice as many customers as usual this morning. 
That's good news. I was hoping it would make your job easier. Do you think any other agents will need training on how to use it? 
Yes. Two new employees are starting next week, so I'll have to provide them with some instructions.",What is the Purpose of the meeting?,to check and see if the new software we installed is working OK. 
,"Hey, Larry. How are things going here at the ticketing office? I just want to check and see if the new software we installed is working OK. 
Oh, it's been wonderful! It is easy to use and saves a lot of time. I've been able to serve twice as many customers as usual this morning. 
That's good news. I was hoping it would make your job easier. Do you think any other agents will need training on how to use it? 
Yes. Two new employees are starting next week, so I'll have to provide them with some instructions.",How does the new software?,easy to use and saves a lot of time
,"Hey, Larry. How are things going here at the ticketing office? I just want to check and see if the new software we installed is working OK. 
Oh, it's been wonderful! It is easy to use and saves a lot of time. I've been able to serve twice as many customers as usual this morning. 
That's good news. I was hoping it would make your job easier. Do you think any other agents will need training on how to use it? 
Yes. Two new employees are starting next week, so I'll have to provide them with some instructions.",How many agents who need to be trained?,Two
,"Hey, Larry. How are things going here at the ticketing office? I just want to check and see if the new software we installed is working OK. 
Oh, it's been wonderful! It is easy to use and saves a lot of time. I've been able to serve twice as many customers as usual this morning. 
That's good news. I was hoping it would make your job easier. Do you think any other agents will need training on how to use it? 
Yes. Two new employees are starting next week, so I'll have to provide them with some instructions.",When will new employees be provided with instruction?,next week
,"Hey, Larry. How are things going here at the ticketing office? I just want to check and see if the new software we installed is working OK. 
Oh, it's been wonderful! It is easy to use and saves a lot of time. I've been able to serve twice as many customers as usual this morning. 
That's good news. I was hoping it would make your job easier. Do you think any other agents will need training on how to use it? 
Yes. Two new employees are starting next week, so I'll have to provide them with some instructions.",What is the conclusion?,
